"loanamount","Population","loantype"
310,795,"VA"
347,692,"FHA"
10,518,"Conventional"
302,791,"FHA"
466,344,"FHA"
322,908,"FHA"
414,361,"Conventional"
359,555,"Conventional"
277,562,"FHA"
273,630,"Conventional"
172,544,"Conventional"
252,513,"Conventional"
274,630,"FHA"
263,184,"FHA"
171,425,"FHA"
134,457,"Conventional"
491,806,"FHA"
422,520,"VA"
439,905,"VA"
620,451,"Conventional"
202,557,"FHA"
288,900,"Conventional"
308,871,"Conventional"
5,842,"Conventional"
315,816,"FHA"
3,518,"Conventional"
465,801,"VA"
748,784,"Conventional"
160,832,"Conventional"
323,750,"Conventional"
6,276,"Conventional"
289,44,"Conventional"
231,545,"FHA"
413,961,"Conventional"
198,582,"FHA"
253,53,"FHA"
444,567,"FHA"
409,799,"Conventional"
453,477,"VA"
369,590,"Conventional"
278,858,"Conventional"
128,716,"Conventional"
778,656,"Conventional"
342,951,"VA"
281,537,"Conventional"
412,612,"Conventional"
112,396,"Conventional"
263,747,"FHA"
1175,310,"Conventional"
277,740,"Conventional"
151,947,"Conventional"
552,717,"Conventional"
142,698,"Conventional"
404,194,"Conventional"
583,751,"VA"
14,482,"Conventional"
324,700,"FHA"
875,134,"Conventional"
5,872,"Conventional"
170,119,"Conventional"
128,492,"Conventional"
417,632,"Conventional"
191,210,"FHA"
248,852,"Conventional"
252,129,"Conventional"
173,943,"FHA"
758,825,"Conventional"
382,591,"Conventional"
338,936,"Conventional"
625,879,"Conventional"
122,518,"Conventional"
500,586,"Conventional"
260,532,"Conventional"
268,630,"Conventional"
296,825,"FHA"
321,912,"Conventional"
30,850,"Conventional"
235,343,"Conventional"
128,811,"Conventional"
412,527,"Conventional"
407,733,"Conventional"
211,585,"FHA"
206,672,"Conventional"
288,59,"Conventional"
486,245,"FHA"
228,698,"FHA"
176,394,"Conventional"
3,865,"Conventional"
498,914,"Conventional"
285,261,"Conventional"
340,684,"Conventional"
286,573,"FHA"
271,744,"FHA"
765,826,"Conventional"
347,474,"VA"
318,287,"Conventional"
3,20,"Conventional"
503,873,"Conventional"
417,926,"Conventional"
628,686,"VA"
473,561,"Conventional"
579,589,"Conventional"
230,830,"VA"
489,891,"Conventional"
305,947,"VA"
270,793,"FHA"
181,531,"FHA"
852,934,"Conventional"
594,381,"Conventional"
378,583,"FHA"
35,77,"Conventional"
405,628,"Conventional"
93,695,"Conventional"
689,617,"Conventional"
308,656,"Conventional"
335,806,"Conventional"
229,771,"FHA"
400,422,"Conventional"
406,914,"VA"
215,962,"Conventional"
237,593,"FHA"
10,93,"Conventional"
405,688,"Conventional"
407,779,"Conventional"
318,521,"FHA"
170,401,"Conventional"
374,618,"Conventional"
295,905,"Conventional"
574,547,"FHA"
320,747,"VA"
374,825,"Conventional"
5,201,"Conventional"
408,188,"Conventional"
140,103,"Conventional"
416,326,"Conventional"
292,933,"Conventional"
175,530,"VA"
578,631,"VA"
432,570,"VA"
228,556,"Conventional"
271,146,"Conventional"
257,899,"Conventional"
240,80,"Conventional"
226,887,"VA"
35,846,"Conventional"
306,795,"Conventional"
90,429,"Conventional"
57,916,"Conventional"
336,788,"FHA"
215,881,"Conventional"
10,724,"Conventional"
182,968,"Conventional"
486,825,"Conventional"
230,643,"VA"
165,858,"Conventional"
10,632,"Conventional"
349,906,"Conventional"
21,831,"FHA"
425,40,"Conventional"
244,314,"FHA"
132,347,"Conventional"
455,429,"Conventional"
19,707,"Conventional"
428,900,"VA"
414,850,"VA"
346,921,"Conventional"
800,736,"Conventional"
468,191,"FHA"
140,904,"Conventional"
625,576,"Conventional"
487,762,"Conventional"
417,607,"Conventional"
281,849,"FHA"
798,381,"Conventional"
544,136,"VA"
299,377,"FHA"
416,781,"Conventional"
355,65,"FHA"
492,580,"Conventional"
341,568,"Conventional"
367,94,"Conventional"
265,907,"Conventional"
167,895,"Conventional"
469,269,"Conventional"
674,260,"Conventional"
314,782,"FHA"
245,428,"Conventional"
417,952,"FHA"
368,282,"VA"
516,188,"Conventional"
238,762,"VA"
166,157,"Conventional"
625,777,"Conventional"
358,904,"VA"
35,127,"Conventional"
2380,17,"Conventional"
611,489,"VA"
311,482,"Conventional"
1059,689,"VA"
624,296,"VA"
430,913,"Conventional"
299,734,"FHA"
352,499,"Conventional"
151,277,"VA"
211,696,"Conventional"
180,572,"Conventional"
585,652,"Conventional"
376,349,"Conventional"
213,869,"FHA"
326,742,"Conventional"
236,828,"Conventional"
400,590,"VA"
474,939,"Conventional"
516,910,"Conventional"
360,244,"FHA"
375,549,"Conventional"
295,646,"Conventional"
366,869,"Conventional"
387,825,"Conventional"
214,403,"Conventional"
636,939,"FHA"
131,854,"Conventional"
646,602,"VA"
385,547,"FHA"
345,954,"Conventional"
352,583,"FHA"
505,474,"Conventional"
172,840,"Conventional"
175,956,"FHA"
297,244,"FHA"
366,194,"Conventional"
409,421,"Conventional"
372,459,"Conventional"
316,687,"Conventional"
200,355,"Conventional"
245,858,"Conventional"
711,237,"Conventional"
181,850,"FHA"
190,513,"Conventional"
388,704,"Conventional"
40,160,"Conventional"
405,631,"VA"
260,434,"Conventional"
280,667,"Conventional"
2250,79,"Conventional"
218,584,"FHA"
328,768,"VA"
394,621,"Conventional"
206,865,"FHA"
401,642,"Conventional"
406,467,"Conventional"
286,623,"VA"
312,741,"FHA"
651,717,"Conventional"
640,591,"Conventional"
351,850,"VA"
169,313,"Conventional"
515,264,"FHA"
15,849,"Conventional"
550,896,"VA"
565,784,"VA"
329,286,"Conventional"
412,829,"FHA"
11,676,"Conventional"
10,796,"Conventional"
191,851,"Conventional"
327,623,"Conventional"
478,927,"FHA"
286,944,"Conventional"
693,617,"Conventional"
254,965,"FHA"
150,879,"Conventional"
260,899,"Conventional"
395,676,"VA"
800,854,"Conventional"
338,915,"Conventional"
261,797,"VA"
293,244,"VA"
245,625,"VA"
680,717,"Conventional"
597,670,"Conventional"
10,964,"Conventional"
456,753,"FHA"
603,591,"Conventional"
198,611,"VA"
361,353,"VA"
193,479,"FHA"
191,745,"FHA"
192,518,"Conventional"
304,909,"VA"
15,889,"Conventional"
565,929,"Conventional"
253,791,"Conventional"
186,776,"FSA/RHS"
319,804,"FHA"
344,772,"Conventional"
47,408,"VA"
7,393,"Conventional"
270,432,"FHA"
167,667,"Conventional"
226,655,"Conventional"
298,874,"Conventional"
46,462,"Conventional"
327,739,"VA"
525,303,"Conventional"
253,396,"VA"
80,697,"Conventional"
274,707,"Conventional"
551,124,"Conventional"
147,905,"FHA"
508,302,"VA"
242,466,"Conventional"
233,964,"Conventional"
368,896,"VA"
298,877,"VA"
800,730,"Conventional"
112,865,"FHA"
230,387,"Conventional"
280,677,"Conventional"
217,484,"Conventional"
189,232,"Conventional"
139,450,"Conventional"
30,739,"Conventional"
164,438,"FHA"
80,159,"Conventional"
183,352,"VA"
340,441,"FHA"
130,846,"Conventional"
137,417,"Conventional"
370,568,"VA"
300,387,"Conventional"
84,722,"Conventional"
281,846,"Conventional"
433,377,"Conventional"
433,186,"Conventional"
650,864,"Conventional"
420,859,"FHA"
222,744,"VA"
379,401,"VA"
412,825,"Conventional"
1478,826,"Conventional"
452,781,"Conventional"
270,422,"Conventional"
224,762,"FHA"
219,697,"Conventional"
298,658,"Conventional"
484,890,"Conventional"
1247,928,"Conventional"
140,312,"FHA"
167,696,"Conventional"
411,946,"FHA"
527,915,"FHA"
173,450,"FHA"
260,793,"FHA"
474,773,"VA"
517,591,"Conventional"
450,601,"Conventional"
165,549,"Conventional"
465,205,"Conventional"
187,412,"Conventional"
269,33,"Conventional"
319,521,"FHA"
191,232,"FHA"
444,374,"FHA"
80,687,"Conventional"
666,615,"VA"
175,623,"Conventional"
374,692,"VA"
390,615,"Conventional"
626,968,"VA"
407,429,"FHA"
225,794,"Conventional"
300,732,"Conventional"
322,721,"FHA"
308,799,"Conventional"
386,531,"FHA"
520,692,"FHA"
188,213,"Conventional"
350,843,"Conventional"
373,143,"FHA"
282,355,"Conventional"
198,944,"Conventional"
404,134,"Conventional"
18,305,"Conventional"
90,279,"Conventional"
265,578,"Conventional"
250,476,"Conventional"
526,460,"Conventional"
220,624,"FHA"
328,386,"Conventional"
340,288,"Conventional"
278,951,"Conventional"
207,593,"Conventional"
1837,617,"Conventional"
25,963,"Conventional"
324,806,"VA"
6,893,"Conventional"
364,283,"FHA"
1,293,"Conventional"
352,855,"FHA"
246,629,"FHA"
5,197,"Conventional"
228,945,"FHA"
238,659,"Conventional"
769,777,"Conventional"
247,407,"VA"
626,584,"Conventional"
350,896,"FHA"
410,595,"Conventional"
255,933,"FSA/RHS"
565,742,"Conventional"
636,209,"FHA"
318,603,"Conventional"
184,409,"FHA"
200,849,"Conventional"
530,31,"VA"
355,915,"Conventional"
358,206,"FHA"
407,852,"VA"
239,638,"FHA"
285,57,"Conventional"
417,400,"Conventional"
240,148,"Conventional"
402,417,"FHA"
437,939,"Conventional"
176,741,"Conventional"
168,952,"Conventional"
279,675,"VA"
1350,212,"Conventional"
412,507,"Conventional"
321,795,"FSA/RHS"
25,800,"Conventional"
541,651,"Conventional"
220,394,"Conventional"
467,309,"FHA"
600,649,"VA"
370,724,"Conventional"
249,458,"FHA"
528,968,"VA"
312,863,"Conventional"
413,825,"Conventional"
337,621,"Conventional"
337,471,"Conventional"
81,266,"FHA"
575,460,"Conventional"
334,838,"Conventional"
267,745,"VA"
200,237,"Conventional"
283,184,"FHA"
417,607,"Conventional"
208,938,"FHA"
100,382,"Conventional"
221,254,"FHA"
495,784,"Conventional"
5,394,"Conventional"
668,892,"Conventional"
210,397,"Conventional"
393,394,"FHA"
827,736,"VA"
338,454,"Conventional"
25,274,"Conventional"
187,952,"Conventional"
275,762,"Conventional"
700,218,"Conventional"
243,618,"Conventional"
211,437,"FHA"
214,953,"FHA"
940,240,"Conventional"
579,591,"FHA"
160,956,"Conventional"
